electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h
6.9,3.0,0.405,6.9
5.5853,5.5822,1.9,5.1
5.1,5.88,1.9,5.18
3.04,5.909,2.35,4.7824
4.34,5.874,4.199,5.18
2.49,4.0,4.685,5.18
3.0,0.405,3.69,4.745
5.5822,1.9,8.9,5.5602
5.88,1.9,8.9,6.2
5.909,2.35,9.0,5.88
5.874,4.199,9.0,6.8731
4.0,4.685,9.0,4.3
0.405,3.69,6.9,2.4
1.9,8.9,5.1,2.4
1.9,8.9,5.18,2.35
2.35,9.0,4.7824,3.04
4.199,9.0,5.18,4.35
4.685,9.0,5.18,4.4
3.69,6.9,4.745,8.5
8.9,5.1,5.5602,8.9515
8.9,5.18,6.2,9.0
9.0,4.7824,5.88,9.0
9.0,5.18,6.8731,9.0
9.0,5.18,4.3,9.0
6.9,4.745,2.4,6.9
5.1,5.5602,2.4,5.5826
5.18,6.2,2.35,5.5773
4.7824,5.88,3.04,5.18
5.18,6.8731,4.35,5.28
5.18,4.3,4.4,4.797
4.745,2.4,8.5,4.7824
5.5602,2.4,8.9515,3.04
6.2,2.35,9.0,4.0
5.88,3.04,9.0,5.2
6.8731,4.35,9.0,6.861
4.3,4.4,9.0,6.8774
2.4,8.5,6.9,5.2
2.4,8.9515,5.5826,5.115
2.35,9.0,5.5773,5.2
3.04,9.0,5.18,5.5338
4.35,9.0,5.28,5.115
4.4,9.0,4.797,5.5663
8.5,6.9,4.7824,6.8
8.9515,5.5826,3.04,8.9543
9.0,5.5773,4.0,8.8
9.0,5.18,5.2,8.8
9.0,5.28,6.861,8.9
9.0,4.797,6.8774,8.8
6.9,4.7824,5.2,5.87
5.5826,3.04,5.115,4.745
5.5773,4.0,5.2,4.8278
5.18,5.2,5.5338,4.34
5.28,6.861,5.115,4.745
4.797,6.8774,5.5663,4.745
4.7824,5.2,6.8,4.797
3.04,5.115,8.9543,5.235
4.0,5.2,8.8,5.38
5.2,5.5338,8.8,6.9
6.861,5.115,8.9,6.9
6.8774,5.5663,8.8,6.8744
5.2,6.8,5.87,5.4692
5.115,8.9543,4.745,5.115
5.2,8.8,4.8278,5.05
5.5338,8.8,4.34,5.05
5.115,8.9,4.745,5.115
5.5663,8.8,4.745,5.5
6.8,5.87,4.797,6.8
8.9543,4.745,5.235,8.9
8.8,4.8278,5.38,8.8
8.8,4.34,6.9,8.8
8.9,4.745,6.9,8.9
8.8,4.745,6.8744,8.9
5.87,4.797,5.4692,6.8
4.745,5.235,5.115,5.5612
4.8278,5.38,5.05,4.137
4.34,6.9,5.05,0.498
4.745,6.9,5.115,0.952
4.745,6.8744,5.5,0.96
4.797,5.4692,6.8,1.45
5.235,5.115,8.9,2.5
5.38,5.05,8.8,3.2
6.9,5.05,8.8,3.04
6.9,5.115,8.9,3.87
6.8744,5.5,8.9,2.45
5.4692,6.8,6.8,0.577
5.115,8.9,5.5612,0.3854
5.05,8.8,4.137,1.997
5.05,8.8,0.498,1.997
