date,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
2024-01-01,57.0,57.0,55.55,38.0,32.0,30.0,30.0,65.0,200.0,246.0,246.0,90.0,90.0,93.0,160.0,600.0,960.0,1210.0,999.0,720.0,470.0,140.0,68.0,70.0
2024-01-02,26.0,11.0,11.0,11.0,11.0,11.01,28.0,205.0,2700.0,3000.0,2489.0,2415.0,2415.0,2489.0,2862.0,2989.0,3200.0,3499.0,3286.0,3200.0,2750.0,2489.0,68.0,70.0
2024-01-03,26.0,20.0,10.0,10.0,10.0,10.0,1000.0,2540.0,3200.0,3600.0,3297.0,2989.0,2900.0,3111.66,3300.0,3400.0,3499.0,3600.0,3600.0,3499.0,3290.0,2900.0,2000.0,1600.0
2024-01-04,2090.0,1995.0,147.0,20.0,10.0,10.0,1995.0,2455.0,2090.0,2300.0,2079.0,2000.0,1880.0,2005.0,2300.0,2500.0,2537.0,2537.0,2537.0,2537.0,2300.0,1650.0,2090.0,2090.0
2024-01-05,2090.0,1600.0,200.0,200.0,100.0,20.0,1200.0,2400.0,2090.0,2100.0,1995.0,1995.0,1992.0,1995.0,2090.0,2900.0,3200.0,2989.0,2989.0,2989.0,2489.0,2090.0,2489.0,2489.0
2024-01-06,2489.0,500.0,63.0,10.0,10.0,10.0,10.0,99.0,99.0,739.0,990.0,739.0,680.0,1799.0,2090.0,2489.0,3000.0,3095.0,3000.0,2600.0,2090.0,1990.0,2090.0,1990.0
2024-01-07,2090.0,1100.0,300.0,87.0,200.0,200.0,200.0,34.0,1750.0,2550.0,2950.0,2989.0,2989.0,2989.0,2989.0,2989.0,3354.0,3650.0,3354.0,3350.0,3354.0,2554.0,2000.0,2060.0
2024-01-08,2599.0,2090.0,1600.0,1000.0,1200.0,2090.0,2734.0,3199.0,4500.0,6277.54,6520.0,5164.0,4948.83,4952.46,4950.04,4951.44,4953.47,6446.5,6417.62,5644.0,5700.0,4100.0,2700.0,2719.0
2024-01-09,2695.0,2500.0,2499.0,2090.0,2090.0,2500.0,2773.77,3354.0,4100.0,4100.0,3354.0,2998.0,2695.0,2700.0,3597.0,4950.0,5588.0,7214.22,6591.0,6529.0,7100.0,5900.0,3200.0,2988.0
2024-01-10,2735.0,2695.0,2695.0,2499.0,2650.0,2695.0,2900.0,3500.0,4950.0,6031.19,4950.0,4000.0,3700.0,4000.0,4950.0,5498.69,5600.0,7213.39,7000.0,6637.0,6837.64,6700.0,4950.0,3000.0
